session_id,user_id,listing_id,seller_id,session_date,device,country,page_views,session_dur_sec,bounced
SS000042,U02357,LST00580,SEL0384,2023-07-20,Android,PL,1,629,0
SS000043,U03394,LST00230,SEL0391,2023-08-14,iOS,DE,2,94,0
SS000044,U00901,LST01668,SEL0140,2023-07-30,Android,DE,10,677,1
SS000045,U04817,LST00994,SEL0104,2023-06-16,Android,PL,9,833,0
SS000046,U01708,LST00521,SEL0035,2023-07-07,iOS,DE,3,606,1
SS000047,U03010,LST02311,SEL0352,2023-08-24,Android,SK,9,124,1
SS000048,U00441,LST01595,SEL0022,2023-06-20,Android,DE,2,884,0
SS000049,U01322,LST02129,SEL0383,2023-07-15,Android,SK,2,164,0
SS000050,U01394,LST00430,SEL0360,2023-08-29,iOS,DE,3,500,0
SS000051,U00577,LST00327,SEL0021,2023-08-24,Android,RO,1,358,1
SS000052,U03281,LST00618,SEL0304,2023-07-10,iOS,PL,12,726,0
SS000053,U00646,LST00361,SEL0029,2023-06-21,iOS,CZ,7,746,0
SS000054,U03831,LST02740,SEL0110,2023-08-04,Android,SK,4,480,0
SS000055,U01354,LST00585,SEL0390,2023-07-14,Android,PL,12,345,1
SS000056,U00218,LST01834,SEL0201,2023-06-05,iOS,PL,7,257,0
SS000057,U01813,LST02664,SEL0288,2023-07-31,iOS,SK,9,263,1
SS000058,U00044,LST01910,SEL0474,2023-06-27,Android,PL,11,497,1
SS000059,U00440,LST01936,SEL0415,2023-08-09,Android,CZ,1,464,0
SS000060,U04211,LST02239,SEL0148,2023-08-29,Android,SK,12,344,0
SS000061,U03413,LST01706,SEL0140,2023-07-13,Android,DE,6,780,0
SS000062,U01785,LST02402,SEL0164,2023-06-14,Android,PL,7,700,0
SS000063,U02521,LST02147,SEL0144,2023-06-02,Android,PL,4,649,0
SS000064,U03446,LST00679,SEL0362,2023-06-14,Android,SK,2,415,1
SS000065,U01133,LST01598,SEL0252,2023-07-17,Android,CZ,3,644,0
SS000066,U00561,LST01015,SEL0409,2023-08-09,Android,PL,11,812,0
SS000067,U01076,LST02045,SEL0120,2023-07-27,Android,PL,2,719,0
SS000068,U00042,LST02014,SEL0095,2023-07-11,Android,CZ,7,290,1
SS000069,U02739,LST01938,SEL0455,2023-06-01,Android,DE,8,357,0
SS000070,U01793,LST02307,SEL0116,2023-06-03,Android,DE,5,256,1
SS000071,U02425,LST02367,SEL0374,2023-06-12,Android,PL,5,426,0
SS000072,U00877,LST01565,SEL0370,2023-06-04,iOS,RO,6,649,1
SS000073,U01636,LST00980,SEL0385,2023-06-01,iOS,CZ,9,324,0
SS000074,U01833,LST02759,SEL0380,2023-08-18,Android,PL,5,409,0
SS000075,U00093,LST02552,SEL0364,2023-07-24,Android,PL,11,867,0
SS000076,U00497,LST02355,SEL0097,2023-06-07,Android,DE,6,855,1
SS000077,U00058,LST01983,SEL0472,2023-08-27,Android,DE,11,159,0
SS000078,U01511,LST01505,SEL0174,2023-07-06,Android,SK,12,212,1
SS000079,U03365,LST00808,SEL0454,2023-07-05,Android,CZ,4,781,0
SS000080,U02102,LST01773,SEL0257,2023-08-14,Android,DE,9,699,0
SS000081,U03846,LST00810,SEL0265,2023-06-06,Android,DE,4,249,1
SS000082,U01335,LST02905,SEL0180,2023-06-14,Android,PL,8,780,0
SS000083,U03143,LST02189,SEL0018,2023-06-27,Android,RO,3,587,1
SS000084,U00811,LST00555,SEL0082,2023-07-10,iOS,DE,3,661,1
SS000085,U03386,LST01454,SEL0437,2023-06-12,Android,DE,8,45,0
SS000086,U00889,LST02152,SEL0215,2023-07-15,Android,DE,1,404,1
SS000087,U00231,LST02624,SEL0426,2023-07-19,iOS,SK,11,390,0
SS000088,U02959,LST01905,SEL0497,2023-07-25,Android,DE,12,423,1
SS000089,U01703,LST01821,SEL0044,2023-08-11,Android,PL,7,348,0
SS000090,U02107,LST00380,SEL0244,2023-06-16,Android,PL,7,291,1
SS000091,U04065,LST01387,SEL0457,2023-08-26,Android,PL,7,534,0
SS000092,U03027,LST02667,SEL0098,2023-08-22,iOS,PL,1,35,1
SS000093,U02088,LST02542,SEL0143,2023-08-29,Android,PL,7,261,0
SS000094,U04269,LST00817,SEL0253,2023-07-10,Android,PL,2,488,0
SS000095,U01160,LST01487,SEL0013,2023-08-15,iOS,RO,7,763,0
SS000096,U00961,LST01813,SEL0295,2023-06-01,Android,DE,6,164,0
SS000097,U02491,LST02730,SEL0236,2023-06-05,Android,CZ,1,742,1
SS000098,U01623,LST00326,SEL0194,2023-08-18,iOS,DE,1,895,1
SS000099,U02977,LST01871,SEL0026,2023-08-04,iOS,DE,7,228,0
SS000100,U00743,LST00296,SEL0052,2023-06-08,iOS,DE,8,48,1
SS000101,U03304,LST00026,SEL0244,2023-06-28,Android,RO,1,302,0
SS000102,U03867,LST01261,SEL0201,2023-07-31,Android,DE,3,69,0
SS000103,U00519,LST01010,SEL0118,2023-08-27,Android,PL,1,157,0
SS000104,U03026,LST01221,SEL0027,2023-06-21,Android,DE,3,413,0
SS000105,U02627,LST01946,SEL0323,2023-06-17,iOS,DE,5,54,0
SS000106,U04057,LST00932,SEL0358,2023-07-24,Android,CZ,11,409,1
SS000107,U01109,LST00253,SEL0059,2023-07-28,Android,DE,3,372,1
SS000108,U04807,LST00246,SEL0105,2023-06-05,Android,CZ,10,443,0
SS000109,U01559,LST01807,SEL0471,2023-08-27,Android,CZ,11,94,1
SS000110,U02392,LST00501,SEL0483,2023-07-10,Android,DE,12,89,1
SS000111,U04532,LST02879,SEL0475,2023-08-25,iOS,SK,2,705,0
SS000112,U00878,LST00907,SEL0267,2023-08-05,Android,DE,12,504,0
SS000113,U04584,LST00240,SEL0180,2023-08-22,iOS,DE,2,168,0
SS000114,U02592,LST02858,SEL0491,2023-07-26,Android,DE,8,313,0
SS000115,U02197,LST00803,SEL0058,2023-07-01,iOS,PL,8,513,0
SS000116,U01616,LST02316,SEL0354,2023-07-15,Android,RO,7,786,1
SS000117,U03361,LST00412,SEL0239,2023-08-17,Android,DE,2,754,0
SS000118,U03519,LST02114,SEL0204,2023-06-01,Android,DE,5,488,1
SS000119,U03371,LST00426,SEL0344,2023-08-03,Android,RO,7,544,1
SS000120,U01181,LST01310,SEL0360,2023-06-19,iOS,DE,9,528,0
SS000121,U01393,LST01820,SEL0429,2023-06-22,Android,DE,12,366,0
SS000122,U00075,LST01498,SEL0131,2023-08-05,iOS,RO,8,618,0
SS000123,U00137,LST02447,SEL0049,2023-06-08,iOS,DE,7,444,0
SS000124,U04767,LST00500,SEL0088,2023-07-16,Android,PL,5,222,0
SS000125,U02089,LST02445,SEL0037,2023-08-01,Android,PL,5,837,1
SS000126,U04903,LST01833,SEL0294,2023-07-16,iOS,PL,11,276,1
SS000127,U02087,LST02720,SEL0218,2023-07-08,iOS,CZ,6,231,0
SS000128,U00174,LST01723,SEL0136,2023-06-01,iOS,DE,7,638,0
SS000129,U03910,LST02422,SEL0066,2023-08-27,iOS,DE,7,218,0
SS000130,U04976,LST00926,SEL0224,2023-07-04,iOS,DE,10,276,1
SS000131,U04046,LST01004,SEL0288,2023-07-15,Android,PL,10,818,0
SS000132,U03889,LST01394,SEL0400,2023-07-20,Android,CZ,5,837,1
SS000133,U01816,LST00957,SEL0159,2023-08-13,iOS,CZ,11,467,0
SS000134,U01313,LST00627,SEL0457,2023-08-11,Android,DE,11,456,0
SS000135,U02157,LST01872,SEL0281,2023-08-06,iOS,PL,8,406,0
SS000136,U04894,LST01559,SEL0355,2023-06-25,Android,DE,11,764,1
SS000137,U01368,LST00783,SEL0214,2023-08-06,Android,DE,9,654,1
SS000138,U02357,LST02778,SEL0461,2023-08-12,Android,DE,2,417,0
SS000139,U01698,LST01978,SEL0161,2023-06-27,Android,DE,10,470,1
SS000140,U02038,LST02318,SEL0306,2023-08-23,Android,CZ,11,612,0
SS000141,U01688,LST00652,SEL0379,2023-07-26,Android,DE,10,480,0
SS000142,U00716,LST00260,SEL0379,2023-07-17,iOS,SK,11,501,0
SS000143,U00577,LST00991,SEL0138,2023-07-04,Android,DE,6,568,0
SS000144,U01002,LST01189,SEL0288,2023-06-12,Android,DE,1,61,0
SS000145,U00762,LST02111,SEL0205,2023-07-15,iOS,PL,5,279,0
SS000146,U01513,LST02529,SEL0083,2023-06-20,Android,PL,2,70,1
SS000147,U01612,LST00204,SEL0271,2023-06-05,Android,DE,8,312,1
SS000148,U01502,LST02891,SEL0496,2023-08-03,Android,RO,10,812,1
SS000149,U04283,LST00211,SEL0092,2023-07-14,iOS,CZ,7,456,0
SS000150,U01961,LST02185,SEL0456,2023-06-27,Android,RO,10,748,0
SS000151,U00499,LST01098,SEL0085,2023-07-21,Android,DE,3,502,1
SS000152,U02239,LST01580,SEL0417,2023-08-10,Android,SK,11,523,1
SS000153,U00714,LST00538,SEL0275,2023-07-21,Android,SK,8,680,0
SS000154,U04200,LST00872,SEL0010,2023-08-13,Android,DE,6,693,0
SS000155,U00069,LST02272,SEL0144,2023-07-29,iOS,DE,2,251,1
SS000156,U04661,LST01348,SEL0451,2023-08-25,iOS,DE,1,351,0
SS000157,U00466,LST00051,SEL0343,2023-08-29,iOS,PL,3,306,0
SS000158,U01061,LST00760,SEL0047,2023-07-17,Android,DE,9,586,0
SS000159,U00599,LST02924,SEL0434,2023-08-04,iOS,CZ,1,86,0
SS000160,U04520,LST02298,SEL0391,2023-06-14,Android,CZ,4,803,1
SS000161,U01256,LST02108,SEL0075,2023-07-07,iOS,CZ,12,173,0
SS000162,U00019,LST00614,SEL0273,2023-08-25,Android,PL,2,498,0
SS000163,U00997,LST00009,SEL0404,2023-07-27,iOS,SK,5,455,0
SS000164,U02683,LST01676,SEL0164,2023-06-24,Android,RO,10,803,1
SS000165,U01218,LST01633,SEL0455,2023-06-16,iOS,RO,7,169,0
SS000166,U01347,LST02348,SEL0187,2023-08-22,iOS,PL,12,886,0
SS000167,U04774,LST01316,SEL0258,2023-06-13,Android,PL,6,828,0
SS000168,U01180,LST00329,SEL0045,2023-07-26,Android,DE,3,465,0
SS000169,U00333,LST01589,SEL0405,2023-08-01,Android,DE,3,24,1
SS000170,U04767,LST02084,SEL0124,2023-06-05,Android,PL,6,339,1
SS000171,U03690,LST01178,SEL0218,2023-07-18,iOS,DE,4,235,0
SS000172,U02108,LST01350,SEL0387,2023-08-09,Android,RO,3,451,1
SS000173,U04582,LST01805,SEL0497,2023-06-28,Android,CZ,1,213,0
SS000174,U03500,LST02383,SEL0036,2023-08-09,Android,DE,5,575,1
SS000175,U02916,LST00277,SEL0118,2023-08-28,Android,DE,8,579,0
SS000176,U00393,LST01699,SEL0306,2023-08-11,Android,PL,4,805,0
SS000177,U04615,LST00155,SEL0340,2023-08-13,iOS,DE,10,89,0
SS000178,U00006,LST02756,SEL0145,2023-06-09,Android,SK,2,334,1
SS000179,U03882,LST00523,SEL0251,2023-07-23,iOS,SK,5,486,1
SS000180,U02532,LST01388,SEL0258,2023-06-03,Android,DE,10,157,1
SS000181,U00992,LST02798,SEL0062,2023-07-27,Android,CZ,1,306,0
SS000182,U00760,LST01300,SEL0255,2023-06-19,Android,RO,5,308,0
SS000183,U04492,LST02269,SEL0051,2023-06-27,Android,CZ,8,667,0
SS000184,U00043,LST01076,SEL0230,2023-07-22,Android,CZ,2,844,0
SS000185,U03256,LST02275,SEL0138,2023-08-07,Android,PL,10,324,0
SS000186,U02412,LST00691,SEL0004,2023-06-08,Android,CZ,4,231,1
SS000187,U04493,LST00550,SEL0244,2023-08-07,Android,DE,9,444,0
SS000188,U00013,LST00183,SEL0010,2023-06-10,Android,CZ,11,210,1
SS000189,U04489,LST01272,SEL0447,2023-08-19,iOS,PL,5,73,1
SS000190,U01459,LST00512,SEL0332,2023-08-18,Android,CZ,3,265,0
SS000191,U02749,LST00093,SEL0358,2023-08-21,Android,DE,3,715,1
SS000192,U01375,LST02246,SEL0285,2023-08-09,Android,RO,2,509,1
SS000193,U01470,LST01583,SEL0057,2023-08-17,Android,DE,5,528,0
SS000194,U01216,LST00377,SEL0494,2023-06-25,Android,RO,1,363,1
SS000195,U02358,LST02018,SEL0318,2023-07-10,iOS,DE,11,543,0
SS000196,U04922,LST01140,SEL0455,2023-07-16,Android,PL,8,608,0
SS000197,U04198,LST02766,SEL0061,2023-07-13,Android,RO,12,749,0
SS000198,U01835,LST02105,SEL0178,2023-07-12,Android,DE,8,862,1
SS000199,U00321,LST01977,SEL0336,2023-07-08,iOS,SK,7,462,0
SS000200,U02845,LST01312,SEL0031,2023-08-22,iOS,DE,12,245,0
SS000201,U02274,LST01902,SEL0084,2023-08-25,Android,RO,2,810,0
SS000202,U01524,LST01734,SEL0167,2023-08-18,iOS,DE,9,555,0
SS000203,U02266,LST02852,SEL0131,2023-08-18,iOS,PL,7,439,0
SS000204,U02290,LST02822,SEL0313,2023-07-30,iOS,DE,9,174,0
SS000205,U02389,LST00961,SEL0440,2023-06-03,Android,PL,11,42,1
SS000206,U04845,LST01107,SEL0111,2023-08-21,iOS,DE,12,497,1
SS000207,U04364,LST02887,SEL0195,2023-08-07,iOS,DE,11,888,1
SS000208,U03696,LST01023,SEL0268,2023-08-05,Android,PL,11,232,0
SS000209,U03654,LST01592,SEL0333,2023-07-04,Android,DE,5,690,0
SS000210,U04485,LST00289,SEL0182,2023-07-09,iOS,DE,2,546,1
SS000211,U00806,LST02022,SEL0243,2023-06-22,Android,DE,11,381,0
SS000212,U01105,LST01784,SEL0330,2023-06-07,iOS,DE,11,847,0
SS000213,U01772,LST01131,SEL0022,2023-07-16,iOS,CZ,1,97,0
SS000214,U03767,LST01577,SEL0114,2023-08-29,Android,RO,7,557,0
SS000215,U04085,LST01493,SEL0103,2023-06-10,Android,RO,4,769,0
SS000216,U01632,LST01775,SEL0125,2023-08-06,Android,RO,1,436,0
SS000217,U02364,LST02654,SEL0002,2023-06-15,Android,DE,10,848,0
SS000218,U01311,LST01845,SEL0423,2023-06-15,iOS,DE,11,888,0
SS000219,U04458,LST00074,SEL0089,2023-08-15,iOS,PL,9,441,1
SS000220,U03849,LST00811,SEL0335,2023-08-24,Android,PL,6,602,0
SS000221,U04255,LST00111,SEL0338,2023-08-17,iOS,CZ,9,859,0
SS000222,U02908,LST01063,SEL0375,2023-06-21,Android,DE,9,336,0
SS000223,U00812,LST02050,SEL0032,2023-07-04,Android,DE,10,711,1
SS000224,U00525,LST01045,SEL0008,2023-08-02,Android,PL,8,128,0
SS000225,U03179,LST00272,SEL0277,2023-07-04,iOS,SK,6,595,0
SS000226,U01916,LST01270,SEL0148,2023-08-11,Android,CZ,12,623,0
SS000227,U03134,LST02210,SEL0026,2023-07-02,Android,RO,8,394,0
SS000228,U02681,LST00913,SEL0146,2023-08-01,iOS,PL,11,166,0
SS000229,U01640,LST02585,SEL0217,2023-06-21,iOS,DE,6,899,1
SS000230,U02260,LST02761,SEL0039,2023-08-13,Android,SK,3,632,0
SS000231,U02800,LST01302,SEL0155,2023-08-04,Android,CZ,2,805,0
SS000232,U00334,LST02061,SEL0049,2023-07-07,Android,PL,1,202,0
SS000233,U04876,LST02019,SEL0150,2023-07-15,Android,CZ,12,572,1
SS000234,U00594,LST02434,SEL0462,2023-06-09,iOS,DE,7,679,1
SS000235,U00978,LST01908,SEL0444,2023-07-29,Android,DE,7,268,0
SS000236,U02310,LST02818,SEL0045,2023-06-18,Android,SK,9,764,1
SS000237,U01308,LST02971,SEL0366,2023-06-04,iOS,DE,2,21,1
SS000238,U01032,LST00887,SEL0095,2023-07-17,iOS,PL,4,702,1
SS000239,U04038,LST01942,SEL0237,2023-06-25,Android,PL,2,107,0
SS000240,U00223,LST01517,SEL0145,2023-06-04,iOS,DE,12,778,0
SS000241,U02572,LST00362,SEL0113,2023-08-14,iOS,CZ,11,496,1
SS000242,U00633,LST02185,SEL0456,2023-07-31,iOS,DE,11,470,1
SS000243,U03358,LST00437,SEL0032,2023-07-08,iOS,DE,11,382,1
SS000244,U02304,LST00303,SEL0445,2023-07-12,iOS,SK,12,164,0
SS000245,U02798,LST00355,SEL0332,2023-06-30,iOS,SK,5,550,1
SS000246,U03150,LST02138,SEL0081,2023-06-05,Android,SK,8,248,1
SS000247,U00648,LST02215,SEL0208,2023-07-23,iOS,PL,7,828,1
SS000248,U00409,LST01476,SEL0361,2023-08-25,Android,SK,8,788,0
SS000249,U03254,LST02381,SEL0473,2023-08-25,iOS,PL,4,478,0
SS000250,U04435,LST02984,SEL0481,2023-06-27,iOS,RO,1,154,0
SS000251,U01374,LST01156,SEL0387,2023-08-13,iOS,PL,11,369,0
SS000252,U03367,LST02970,SEL0474,2023-07-29,Android,SK,1,876,0
SS000253,U04649,LST02747,SEL0249,2023-08-28,Android,CZ,6,608,0
SS000254,U01973,LST01091,SEL0003,2023-08-17,iOS,PL,5,524,0
SS000255,U01071,LST02356,SEL0481,2023-07-24,iOS,DE,6,63,1
SS000256,U03866,LST02028,SEL0459,2023-08-13,Android,PL,8,303,1
SS000257,U02650,LST00932,SEL0358,2023-08-27,Android,DE,2,331,0
SS000258,U01760,LST00915,SEL0422,2023-07-12,Android,CZ,11,228,1
SS000259,U03040,LST01722,SEL0064,2023-07-03,iOS,CZ,1,618,0
SS000260,U00961,LST02799,SEL0130,2023-06-12,iOS,RO,8,630,0
SS000261,U03212,LST00864,SEL0090,2023-06-16,Android,DE,10,360,0
SS000262,U00989,LST00968,SEL0010,2023-06-18,Android,PL,2,632,0
SS000263,U04293,LST01910,SEL0474,2023-07-03,iOS,PL,3,750,0
SS000264,U00252,LST01891,SEL0125,2023-07-31,iOS,PL,7,762,0
SS000265,U00742,LST02048,SEL0325,2023-06-19,iOS,DE,9,60,0
SS000266,U04036,LST01188,SEL0336,2023-06-13,Android,DE,12,45,1
SS000267,U03259,LST01563,SEL0189,2023-07-15,Android,DE,4,560,0
SS000268,U01371,LST00011,SEL0288,2023-08-21,iOS,CZ,12,438,0
SS000269,U00625,LST01083,SEL0205,2023-07-01,iOS,PL,12,196,0
SS000270,U02754,LST01897,SEL0193,2023-07-26,Android,RO,8,864,0
SS000271,U04291,LST02710,SEL0319,2023-07-04,iOS,CZ,4,827,0
SS000272,U03029,LST00212,SEL0316,2023-07-31,Android,PL,4,352,0
SS000273,U01904,LST02578,SEL0191,2023-06-19,Android,CZ,1,655,1
SS000274,U04388,LST00404,SEL0319,2023-06-24,Android,RO,2,184,1
SS000275,U00366,LST01308,SEL0427,2023-08-22,Android,DE,12,604,0
SS000276,U01018,LST00910,SEL0421,2023-07-25,Android,DE,12,370,0
SS000277,U04017,LST01552,SEL0492,2023-08-01,Android,PL,11,618,0
SS000278,U02550,LST02469,SEL0420,2023-07-04,Android,PL,9,429,0
SS000279,U01777,LST01156,SEL0387,2023-06-30,Android,PL,11,225,0
SS000280,U04519,LST02048,SEL0325,2023-08-26,Android,DE,8,339,0
SS000281,U02543,LST00428,SEL0019,2023-07-14,Android,DE,7,97,1
SS000282,U00970,LST02655,SEL0031,2023-07-30,iOS,PL,6,781,0
SS000283,U03188,LST02126,SEL0166,2023-06-29,Android,PL,4,168,0
SS000284,U03202,LST02012,SEL0255,2023-06-27,iOS,DE,7,239,1
SS000285,U03502,LST00142,SEL0297,2023-06-01,iOS,CZ,8,273,1
SS000286,U01361,LST02845,SEL0128,2023-08-12,iOS,PL,1,706,1
SS000287,U01607,LST02237,SEL0277,2023-07-15,Android,DE,2,114,0
SS000288,U03429,LST01948,SEL0353,2023-08-28,Android,DE,11,657,0
SS000289,U02411,LST01917,SEL0194,2023-08-08,iOS,DE,9,773,0
SS000290,U04626,LST02737,SEL0286,2023-06-15,iOS,DE,2,267,0
SS000291,U01228,LST00268,SEL0480,2023-08-29,Android,DE,8,466,1
SS000292,U00831,LST00531,SEL0410,2023-06-04,iOS,RO,12,572,0
SS000293,U00141,LST02262,SEL0446,2023-06-05,iOS,DE,2,409,1
SS000294,U00349,LST02160,SEL0137,2023-08-13,Android,DE,8,52,0
SS000295,U01627,LST02420,SEL0406,2023-07-05,iOS,PL,6,397,1
SS000296,U02747,LST01481,SEL0289,2023-06-06,Android,SK,6,463,1
SS000297,U04552,LST01355,SEL0422,2023-08-17,Android,PL,3,587,1
SS000298,U01626,LST02861,SEL0080,2023-08-13,iOS,PL,10,655,1
SS000299,U04625,LST02067,SEL0172,2023-07-06,Android,PL,7,567,0
SS000300,U00710,LST01559,SEL0355,2023-06-18,iOS,CZ,4,446,1
SS000301,U01015,LST01526,SEL0229,2023-08-26,Android,DE,11,873,0
SS000302,U00005,LST00703,SEL0394,2023-07-09,Android,PL,1,816,0
SS000303,U02333,LST01790,SEL0038,2023-06-18,iOS,PL,11,153,0
SS000304,U02430,LST01653,SEL0302,2023-08-23,Android,PL,5,759,0
SS000305,U04841,LST02483,SEL0158,2023-08-15,Android,PL,2,299,1
SS000306,U02151,LST00231,SEL0375,2023-06-12,iOS,SK,4,843,1
SS000307,U04918,LST02821,SEL0310,2023-07-19,Android,DE,1,206,0
SS000308,U04910,LST00323,SEL0430,2023-07-21,Android,DE,4,680,0
SS000309,U03466,LST02142,SEL0338,2023-06-19,iOS,DE,9,709,1
SS000310,U01862,LST00832,SEL0413,2023-06-01,Android,CZ,6,724,0
SS000311,U03875,LST02304,SEL0064,2023-08-26,Android,SK,8,356,1
SS000312,U04787,LST00685,SEL0303,2023-06-08,iOS,CZ,12,420,1
SS000313,U01553,LST01757,SEL0267,2023-08-18,iOS,DE,12,485,1
SS000314,U04185,LST01593,SEL0319,2023-07-25,Android,PL,12,875,1
SS000315,U04449,LST02724,SEL0427,2023-07-22,Android,DE,4,214,0
SS000316,U03394,LST01910,SEL0474,2023-06-05,Android,PL,12,62,1
SS000317,U02112,LST01265,SEL0450,2023-07-03,Android,DE,3,587,1
SS000318,U01557,LST02280,SEL0085,2023-08-10,Android,DE,2,764,0
SS000319,U04309,LST02593,SEL0084,2023-06-07,iOS,DE,4,243,0
SS000320,U00563,LST01620,SEL0390,2023-08-10,iOS,DE,11,26,0
SS000321,U00020,LST01575,SEL0344,2023-08-10,iOS,DE,6,690,1
SS000322,U01240,LST02731,SEL0028,2023-06-24,iOS,DE,10,660,0
SS000323,U00018,LST02627,SEL0459,2023-06-21,Android,PL,8,29,1
SS000324,U00649,LST00996,SEL0319,2023-06-10,Android,CZ,11,773,0
SS000325,U02397,LST00319,SEL0336,2023-06-16,Android,PL,7,322,0
SS000326,U01238,LST02797,SEL0436,2023-08-25,Android,CZ,6,627,0
SS000327,U03241,LST00997,SEL0036,2023-08-06,Android,DE,3,120,0
SS000328,U03165,LST01672,SEL0386,2023-08-02,Android,SK,8,859,0
SS000329,U01239,LST00058,SEL0452,2023-08-12,iOS,PL,9,863,1
SS000330,U03050,LST02106,SEL0446,2023-06-26,Android,DE,2,569,0
SS000331,U03476,LST02589,SEL0189,2023-08-15,Android,RO,2,788,1
SS000332,U01241,LST00819,SEL0008,2023-06-04,Android,CZ,9,253,0
SS000333,U00958,LST01290,SEL0068,2023-08-05,iOS,DE,10,625,0
SS000334,U00811,LST00694,SEL0138,2023-06-01,Android,DE,8,46,1
SS000335,U02493,LST01414,SEL0183,2023-07-28,Android,DE,10,21,0
SS000336,U04912,LST01908,SEL0444,2023-07-25,Android,DE,11,692,1
SS000337,U04695,LST01410,SEL0116,2023-08-25,Android,DE,10,803,0
SS000338,U02247,LST01929,SEL0271,2023-06-06,iOS,SK,8,530,0
SS000339,U03168,LST02137,SEL0256,2023-06-11,iOS,DE,4,266,0
SS000340,U04121,LST01662,SEL0064,2023-06-09,Android,PL,5,146,0
SS000341,U00801,LST00237,SEL0105,2023-08-26,Android,DE,8,574,0
SS000342,U04319,LST02030,SEL0258,2023-07-23,Android,DE,9,797,0
SS000343,U02512,LST00656,SEL0038,2023-07-15,Android,DE,10,708,1
SS000344,U00338,LST02721,SEL0034,2023-08-11,iOS,PL,12,643,0
SS000345,U00814,LST01208,SEL0239,2023-08-12,iOS,PL,2,377,0
SS000346,U04911,LST00715,SEL0067,2023-08-25,iOS,PL,8,64,0
SS000347,U04376,LST01595,SEL0022,2023-07-22,Android,CZ,3,769,1
SS000348,U03457,LST02816,SEL0293,2023-06-05,iOS,DE,7,301,1
SS000349,U00658,LST00330,SEL0177,2023-06-28,Android,RO,4,771,0
SS000350,U01026,LST00144,SEL0105,2023-06-11,iOS,DE,4,290,0
SS000351,U01193,LST00344,SEL0473,2023-08-09,Android,SK,12,36,0
SS000352,U01673,LST01586,SEL0009,2023-07-23,iOS,RO,3,314,1
