transaction_id,session_id,seller_id,listing_id,user_id,txn_date,country,device,quantity,unit_price_eur,gmv_eur,is_returned,category
TXN000052,SS008208,SEL0147,LST00262,U00823,2023-06-15,DE,Android,2,403.13,806.26,0,Sports
TXN000053,SS016951,SEL0417,LST02026,U04427,2023-08-26,SK,Android,4,23.35,93.4,0,Sports
TXN000054,SS014231,SEL0262,LST02442,U04086,2023-07-09,CZ,Android,2,175.81,351.62,1,Electronics
TXN000055,SS005368,SEL0375,LST01853,U01090,2023-06-30,PL,Android,2,134.97,269.94,0,Fashion
TXN000056,SS005711,SEL0212,LST02599,U00086,2023-08-23,DE,Android,3,23.64,70.92,0,Fashion
TXN000057,SS007604,SEL0288,LST01189,U04401,2023-06-20,DE,Android,3,489.04,1467.12,0,Beauty
TXN000058,SS002324,SEL0140,LST02520,U04518,2023-07-01,DE,Android,2,418.59,837.18,0,Home & Garden
TXN000059,SS012854,SEL0472,LST02660,U02176,2023-07-25,DE,iOS,3,158.95,476.85,0,Sports
TXN000060,SS002385,SEL0262,LST00145,U04492,2023-06-30,RO,iOS,3,74.07,222.21,0,Electronics
TXN000061,SS002015,SEL0141,LST01915,U04982,2023-08-02,CZ,iOS,2,132.27,264.54,1,Fashion
TXN000062,SS011261,SEL0032,LST02064,U02550,2023-08-04,RO,Android,2,415.36,830.72,1,Beauty
TXN000063,SS001358,SEL0394,LST00374,U03199,2023-07-30,DE,Android,2,496.04,992.08,1,Fashion
TXN000064,SS006049,SEL0048,LST01226,U03053,2023-06-11,DE,Android,3,212.93,638.79,0,Beauty
TXN000065,SS004859,SEL0496,LST00798,U04464,2023-07-12,DE,Android,3,168.7,506.1,0,Beauty
TXN000066,SS001749,SEL0143,LST02377,U01716,2023-08-15,PL,Android,3,32.72,98.16,0,Sports
TXN000067,SS018830,SEL0147,LST01268,U01680,2023-07-13,SK,Android,3,459.66,1378.98,0,Sports
TXN000068,SS001122,SEL0469,LST02901,U02547,2023-07-02,DE,iOS,3,404.99,1214.97,0,Fashion
TXN000069,SS017031,SEL0110,LST01331,U02991,2023-08-10,CZ,Android,3,122.81,368.43,1,Beauty
TXN000070,SS011535,SEL0078,LST02261,U02621,2023-08-19,CZ,Android,3,24.87,74.61,0,Sports
TXN000071,SS016979,SEL0299,LST02037,U04143,2023-08-27,DE,Android,2,170.99,341.98,0,Fashion
TXN000072,SS008786,SEL0312,LST02515,U04925,2023-07-03,DE,iOS,4,281.87,1127.48,0,Electronics
TXN000073,SS008485,SEL0325,LST01124,U01538,2023-07-08,DE,Android,4,334.08,1336.32,0,Home & Garden
TXN000074,SS014144,SEL0422,LST00823,U04890,2023-06-11,DE,Android,3,219.42,658.26,0,Beauty
TXN000075,SS000852,SEL0195,LST02164,U04362,2023-07-21,DE,Android,4,226.45,905.8,0,Sports
TXN000076,SS014976,SEL0163,LST00628,U00310,2023-08-18,PL,Android,4,62.08,248.32,0,Beauty
TXN000077,SS002014,SEL0086,LST00903,U01018,2023-08-13,CZ,iOS,1,116.66,116.66,0,Sports
TXN000078,SS018741,SEL0494,LST00590,U00897,2023-07-16,PL,iOS,4,298.94,1195.76,0,Beauty
TXN000079,SS003099,SEL0338,LST02793,U01643,2023-07-18,RO,iOS,3,110.11,330.33,0,Home & Garden
TXN000080,SS012489,SEL0452,LST01247,U01630,2023-07-05,DE,iOS,1,263.25,263.25,0,Fashion
TXN000081,SS017673,SEL0037,LST02078,U00049,2023-06-14,DE,Android,1,318.12,318.12,0,Fashion
TXN000082,SS008377,SEL0049,LST01022,U02119,2023-07-12,SK,Android,4,149.41,597.64,1,Sports
TXN000083,SS000410,SEL0148,LST02964,U04650,2023-07-08,CZ,Android,4,82.06,328.24,0,Beauty
TXN000084,SS000681,SEL0076,LST01137,U02072,2023-08-18,CZ,iOS,2,159.53,319.06,0,Fashion
TXN000085,SS002273,SEL0138,LST01556,U01137,2023-06-05,PL,Android,2,417.72,835.44,0,Beauty
TXN000086,SS000354,SEL0498,LST02608,U01237,2023-08-23,DE,iOS,3,9.81,29.43,0,Sports
TXN000087,SS017824,SEL0303,LST01467,U03014,2023-08-27,DE,Android,3,226.25,678.75,0,Home & Garden
TXN000088,SS008113,SEL0303,LST02051,U03224,2023-07-24,DE,Android,3,228.65,685.95,0,Home & Garden
TXN000089,SS015256,SEL0308,LST01754,U04300,2023-07-19,DE,iOS,3,142.22,426.66,0,Electronics
TXN000090,SS017702,SEL0321,LST01678,U01560,2023-08-14,DE,iOS,2,68.38,136.76,1,Sports
TXN000091,SS002031,SEL0130,LST00929,U02724,2023-07-28,DE,iOS,2,66.71,133.42,0,Electronics
TXN000092,SS002972,SEL0216,LST01601,U04878,2023-08-01,RO,Android,1,47.23,47.23,1,Sports
TXN000093,SS016527,SEL0387,LST02389,U01739,2023-06-02,CZ,iOS,4,241.18,964.72,0,Home & Garden
TXN000094,SS011540,SEL0436,LST02412,U04084,2023-07-20,DE,Android,4,426.22,1704.88,0,Electronics
TXN000095,SS012167,SEL0130,LST00929,U03433,2023-06-22,DE,iOS,3,66.71,200.13,1,Electronics
TXN000096,SS011511,SEL0353,LST02504,U04899,2023-07-05,SK,Android,2,486.81,973.62,1,Sports
TXN000097,SS005765,SEL0102,LST02300,U01831,2023-08-21,DE,Android,4,209.05,836.2,0,Home & Garden
TXN000098,SS019859,SEL0089,LST00074,U03860,2023-08-27,PL,Android,4,104.14,416.56,0,Beauty
TXN000099,SS016541,SEL0265,LST01597,U04648,2023-08-25,PL,Android,3,107.26,321.78,0,Home & Garden
TXN000100,SS019670,SEL0269,LST00706,U04819,2023-07-05,SK,iOS,2,222.34,444.68,0,Home & Garden
TXN000101,SS006946,SEL0163,LST00407,U03085,2023-08-10,DE,Android,1,306.42,306.42,0,Beauty
TXN000102,SS006808,SEL0003,LST01758,U01364,2023-06-20,SK,Android,3,48.93,146.79,0,Beauty
TXN000103,SS018824,SEL0358,LST00725,U02797,2023-07-11,DE,Android,4,230.07,920.28,0,Home & Garden
TXN000104,SS005192,SEL0220,LST00750,U02683,2023-07-12,RO,iOS,4,33.14,132.56,0,Fashion
TXN000105,SS019315,SEL0498,LST00805,U00871,2023-08-23,RO,iOS,3,293.24,879.72,0,Sports
TXN000106,SS012643,SEL0407,LST01692,U03481,2023-07-18,PL,iOS,3,198.35,595.05,0,Beauty
TXN000107,SS004175,SEL0171,LST02351,U00623,2023-06-28,DE,Android,4,306.26,1225.04,1,Home & Garden
TXN000108,SS010024,SEL0329,LST02570,U04467,2023-07-09,PL,Android,1,178.11,178.11,0,Home & Garden
TXN000109,SS003277,SEL0399,LST01389,U01546,2023-06-24,DE,Android,1,189.36,189.36,0,Beauty
TXN000110,SS018669,SEL0168,LST00675,U04177,2023-06-12,DE,iOS,4,207.88,831.52,0,Beauty
TXN000111,SS007538,SEL0004,LST02255,U03575,2023-08-03,PL,Android,1,22.1,22.1,0,Fashion
TXN000112,SS006311,SEL0245,LST00998,U01929,2023-06-09,SK,Android,2,322.84,645.68,0,Beauty
TXN000113,SS002238,SEL0208,LST00893,U01568,2023-07-04,DE,Android,3,283.19,849.57,0,Electronics
TXN000114,SS004236,SEL0014,LST00072,U01242,2023-07-24,RO,iOS,1,465.9,465.9,0,Sports
TXN000115,SS014582,SEL0304,LST01878,U01177,2023-06-03,DE,iOS,3,50.59,151.77,0,Fashion
TXN000116,SS006105,SEL0163,LST01658,U03665,2023-06-23,PL,iOS,1,81.84,81.84,0,Beauty
TXN000117,SS009929,SEL0376,LST02976,U04827,2023-07-30,CZ,Android,1,123.57,123.57,0,Electronics
TXN000118,SS016699,SEL0258,LST01649,U04452,2023-07-01,DE,Android,2,370.83,741.66,0,Sports
TXN000119,SS002993,SEL0338,LST01423,U04720,2023-08-07,PL,Android,3,245.72,737.16,0,Home & Garden
TXN000120,SS012209,SEL0173,LST00188,U01839,2023-08-11,RO,iOS,1,467.01,467.01,0,Home & Garden
TXN000121,SS004068,SEL0495,LST02206,U04517,2023-07-16,DE,Android,3,306.81,920.43,0,Home & Garden
TXN000122,SS001490,SEL0293,LST02929,U03450,2023-07-21,DE,iOS,2,286.39,572.78,0,Home & Garden
TXN000123,SS001798,SEL0045,LST02884,U01825,2023-06-14,PL,Android,2,250.32,500.64,0,Fashion
TXN000124,SS006421,SEL0277,LST02163,U03395,2023-08-14,PL,iOS,4,377.54,1510.16,0,Beauty
TXN000125,SS018926,SEL0363,LST02953,U01451,2023-08-09,DE,Android,4,413.6,1654.4,0,Sports
TXN000126,SS015401,SEL0052,LST02131,U03078,2023-06-17,CZ,Android,4,249.29,997.16,0,Fashion
TXN000127,SS010784,SEL0366,LST01886,U03434,2023-08-28,DE,iOS,2,85.16,170.32,0,Beauty
TXN000128,SS015535,SEL0440,LST00280,U03591,2023-07-21,CZ,Android,2,224.82,449.64,0,Home & Garden
TXN000129,SS016548,SEL0205,LST00016,U02269,2023-06-19,DE,Android,3,221.86,665.58,0,Home & Garden
TXN000130,SS019716,SEL0130,LST02694,U00659,2023-08-05,PL,Android,3,470.69,1412.07,1,Electronics
TXN000131,SS012600,SEL0403,LST01951,U04069,2023-06-27,DE,iOS,3,157.41,472.23,1,Sports
TXN000132,SS009180,SEL0263,LST02907,U00068,2023-08-24,DE,iOS,1,345.4,345.4,1,Electronics
TXN000133,SS019195,SEL0471,LST01468,U00035,2023-08-09,PL,Android,3,63.41,190.23,1,Electronics
TXN000134,SS009361,SEL0401,LST00069,U03590,2023-07-01,DE,Android,2,79.43,158.86,0,Beauty
TXN000135,SS015020,SEL0014,LST00422,U03100,2023-07-14,PL,Android,2,307.46,614.92,0,Sports
TXN000136,SS013167,SEL0381,LST01496,U00585,2023-06-14,DE,Android,4,246.94,987.76,0,Beauty
TXN000137,SS013426,SEL0362,LST00736,U04773,2023-08-13,PL,iOS,3,62.99,188.97,0,Beauty
TXN000138,SS000992,SEL0433,LST00697,U00531,2023-06-04,CZ,Android,3,258.62,775.86,0,Home & Garden
TXN000139,SS005107,SEL0301,LST02357,U04020,2023-06-26,PL,Android,4,330.52,1322.08,1,Fashion
TXN000140,SS005920,SEL0370,LST02565,U02222,2023-07-16,SK,iOS,3,433.92,1301.76,1,Beauty
TXN000141,SS017669,SEL0101,LST01097,U02863,2023-07-27,DE,Android,4,254.59,1018.36,0,Electronics
TXN000142,SS004392,SEL0050,LST00020,U00987,2023-08-06,DE,iOS,3,393.19,1179.57,0,Beauty
TXN000143,SS016797,SEL0285,LST02563,U04771,2023-06-05,PL,iOS,1,253.55,253.55,1,Electronics
TXN000144,SS008378,SEL0109,LST02533,U04420,2023-07-19,DE,iOS,3,197.86,593.58,0,Electronics
TXN000145,SS015175,SEL0080,LST02861,U00841,2023-06-11,SK,iOS,3,498.83,1496.49,0,Home & Garden
TXN000146,SS013329,SEL0385,LST02396,U00376,2023-06-05,PL,iOS,3,185.51,556.53,0,Fashion
TXN000147,SS017813,SEL0485,LST01068,U04921,2023-06-18,PL,iOS,3,82.15,246.45,0,Home & Garden
TXN000148,SS007345,SEL0110,LST01679,U00497,2023-07-18,PL,iOS,4,55.09,220.36,0,Beauty
TXN000149,SS017717,SEL0363,LST02997,U03206,2023-08-22,DE,Android,1,335.73,335.73,0,Sports
TXN000150,SS002682,SEL0347,LST00889,U03296,2023-06-06,CZ,Android,1,224.34,224.34,0,Fashion
TXN000151,SS001122,SEL0469,LST02901,U02547,2023-07-02,DE,iOS,1,404.99,404.99,0,Fashion
TXN000152,SS002099,SEL0475,LST00419,U01563,2023-08-18,PL,iOS,3,224.87,674.61,0,Home & Garden
TXN000153,SS014689,SEL0053,LST00453,U03698,2023-07-17,PL,iOS,3,269.95,809.85,0,Home & Garden
TXN000154,SS007348,SEL0204,LST00444,U01123,2023-07-18,RO,Android,3,372.09,1116.27,1,Electronics
TXN000155,SS008317,SEL0222,LST02413,U02804,2023-07-08,PL,iOS,2,47.09,94.18,0,Home & Garden
TXN000156,SS011561,SEL0336,LST02662,U00527,2023-07-09,DE,Android,4,466.29,1865.16,0,Fashion
TXN000157,SS009404,SEL0032,LST00437,U01265,2023-07-18,DE,Android,4,386.83,1547.32,1,Beauty
TXN000158,SS013446,SEL0195,LST02202,U04932,2023-08-23,CZ,Android,4,196.86,787.44,0,Sports
TXN000159,SS017096,SEL0050,LST01201,U02123,2023-07-03,SK,Android,4,25.74,102.96,0,Beauty
TXN000160,SS019346,SEL0118,LST00146,U04292,2023-07-20,PL,Android,1,201.97,201.97,0,Electronics
TXN000161,SS007287,SEL0024,LST01305,U03548,2023-07-30,PL,iOS,4,272.47,1089.88,0,Home & Garden
TXN000162,SS010741,SEL0277,LST02163,U01030,2023-06-30,RO,Android,3,377.54,1132.62,0,Beauty
TXN000163,SS000613,SEL0491,LST02337,U01051,2023-06-07,DE,iOS,2,130.31,260.62,0,Fashion
TXN000164,SS010450,SEL0188,LST02312,U03351,2023-06-24,DE,Android,2,351.59,703.18,1,Sports
TXN000165,SS005288,SEL0467,LST00716,U01031,2023-06-07,RO,Android,1,279.1,279.1,0,Fashion
TXN000166,SS005972,SEL0031,LST00726,U00542,2023-08-09,DE,Android,2,115.24,230.48,0,Sports
TXN000167,SS002190,SEL0035,LST02965,U01687,2023-06-21,PL,Android,1,281.14,281.14,0,Electronics
TXN000168,SS000499,SEL0328,LST01182,U00334,2023-07-30,DE,iOS,1,50.24,50.24,0,Beauty
TXN000169,SS019610,SEL0406,LST00033,U02481,2023-07-28,SK,Android,1,177.77,177.77,0,Fashion
TXN000170,SS008234,SEL0281,LST00917,U04706,2023-08-16,PL,iOS,1,236.72,236.72,1,Beauty
TXN000171,SS018346,SEL0123,LST01291,U03164,2023-08-26,DE,iOS,1,123.76,123.76,0,Beauty
TXN000172,SS015652,SEL0268,LST02967,U00802,2023-06-30,DE,Android,1,351.59,351.59,0,Home & Garden
TXN000173,SS006422,SEL0157,LST01992,U02576,2023-08-05,CZ,iOS,4,125.57,502.28,0,Home & Garden
TXN000174,SS002157,SEL0340,LST01918,U00788,2023-08-23,DE,Android,3,353.81,1061.43,0,Home & Garden
TXN000175,SS004043,SEL0276,LST00759,U03059,2023-08-21,PL,Android,3,413.23,1239.69,1,Electronics
TXN000176,SS007720,SEL0455,LST02089,U03148,2023-06-12,DE,iOS,1,38.27,38.27,0,Sports
TXN000177,SS019013,SEL0215,LST01991,U00850,2023-06-26,PL,Android,1,237.66,237.66,0,Beauty
TXN000178,SS019247,SEL0490,LST01298,U04749,2023-06-07,SK,Android,4,30.16,120.64,0,Home & Garden
TXN000179,SS004385,SEL0286,LST02737,U04531,2023-07-18,CZ,Android,4,492.89,1971.56,0,Sports
TXN000180,SS009821,SEL0382,LST02859,U01303,2023-06-12,PL,Android,3,461.28,1383.84,0,Beauty
TXN000181,SS012743,SEL0254,LST01190,U00616,2023-06-22,DE,Android,3,412.19,1236.57,0,Beauty
TXN000182,SS014300,SEL0485,LST01068,U02925,2023-08-04,PL,Android,1,82.15,82.15,0,Home & Garden
TXN000183,SS019609,SEL0292,LST01985,U00295,2023-07-30,DE,iOS,1,154.55,154.55,0,Beauty
TXN000184,SS010277,SEL0145,LST02756,U02860,2023-06-14,PL,iOS,2,58.96,117.92,0,Sports
TXN000185,SS005112,SEL0304,LST01878,U01331,2023-08-04,DE,Android,4,50.59,202.36,0,Fashion
TXN000186,SS003902,SEL0439,LST01070,U02571,2023-08-19,DE,Android,1,438.32,438.32,0,Home & Garden
TXN000187,SS011477,SEL0333,LST01007,U04957,2023-07-09,SK,Android,4,363.75,1455.0,0,Electronics
TXN000188,SS013262,SEL0469,LST01056,U00210,2023-08-07,SK,Android,2,457.6,915.2,0,Fashion
TXN000189,SS003588,SEL0166,LST01560,U00426,2023-07-21,CZ,iOS,1,265.61,265.61,0,Beauty
TXN000190,SS006386,SEL0003,LST01758,U00243,2023-08-02,PL,iOS,1,48.93,48.93,0,Beauty
TXN000191,SS006304,SEL0229,LST02500,U02514,2023-07-09,DE,iOS,1,479.25,479.25,0,Beauty
TXN000192,SS012986,SEL0365,LST00982,U03437,2023-08-15,CZ,iOS,2,320.64,641.28,0,Sports
TXN000193,SS015164,SEL0156,LST00689,U04192,2023-06-08,DE,Android,3,96.32,288.96,0,Electronics
TXN000194,SS008500,SEL0461,LST02778,U01329,2023-07-10,PL,iOS,2,219.39,438.78,1,Beauty
TXN000195,SS005727,SEL0395,LST02069,U01537,2023-07-31,CZ,Android,3,216.85,650.55,0,Fashion
TXN000196,SS012006,SEL0261,LST01149,U04044,2023-06-10,DE,Android,4,73.34,293.36,0,Home & Garden
TXN000197,SS005560,SEL0019,LST01519,U03401,2023-08-28,RO,iOS,3,138.05,414.15,0,Home & Garden
TXN000198,SS014737,SEL0002,LST00779,U00798,2023-06-06,PL,Android,4,7.59,30.36,0,Sports
TXN000199,SS001863,SEL0182,LST02194,U00643,2023-08-06,DE,iOS,4,171.21,684.84,1,Home & Garden
TXN000200,SS010172,SEL0174,LST00796,U04242,2023-07-01,RO,Android,4,247.3,989.2,1,Sports
TXN000201,SS016637,SEL0224,LST01567,U00444,2023-07-09,DE,Android,1,400.48,400.48,1,Home & Garden
TXN000202,SS006436,SEL0167,LST00125,U01221,2023-07-29,PL,Android,2,129.34,258.68,0,Sports
TXN000203,SS008531,SEL0313,LST01608,U01804,2023-06-11,PL,iOS,2,289.05,578.1,0,Home & Garden
TXN000204,SS016899,SEL0030,LST02904,U01772,2023-08-10,DE,Android,4,368.57,1474.28,1,Beauty
TXN000205,SS017837,SEL0435,LST01125,U04028,2023-07-05,PL,Android,3,398.54,1195.62,0,Fashion
TXN000206,SS017296,SEL0360,LST00789,U02730,2023-07-17,SK,Android,4,128.28,513.12,0,Electronics
TXN000207,SS014660,SEL0105,LST00144,U04514,2023-07-11,PL,iOS,1,388.15,388.15,0,Home & Garden
TXN000208,SS011358,SEL0026,LST01236,U04191,2023-07-20,DE,iOS,4,157.85,631.4,0,Beauty
TXN000209,SS007153,SEL0365,LST00982,U02755,2023-08-08,PL,iOS,4,320.64,1282.56,0,Sports
TXN000210,SS008666,SEL0360,LST00430,U04348,2023-06-15,DE,Android,3,250.39,751.17,0,Electronics
TXN000211,SS007487,SEL0179,LST01398,U01503,2023-07-20,RO,Android,4,428.03,1712.12,0,Home & Garden
TXN000212,SS010263,SEL0244,LST00380,U03418,2023-06-03,CZ,Android,3,267.89,803.67,0,Electronics
TXN000213,SS002480,SEL0329,LST02299,U04908,2023-06-06,PL,Android,2,265.68,531.36,1,Home & Garden
TXN000214,SS009465,SEL0063,LST00701,U03227,2023-07-02,DE,Android,1,448.28,448.28,0,Electronics
TXN000215,SS019481,SEL0229,LST01526,U01831,2023-08-03,RO,iOS,2,282.89,565.78,0,Beauty
TXN000216,SS017142,SEL0131,LST02852,U02483,2023-08-03,DE,iOS,1,473.53,473.53,0,Home & Garden
TXN000217,SS008824,SEL0177,LST00012,U03335,2023-06-16,DE,Android,4,202.51,810.04,0,Fashion
TXN000218,SS002537,SEL0137,LST01474,U02707,2023-08-10,CZ,iOS,2,156.88,313.76,0,Fashion
TXN000219,SS002341,SEL0074,LST01038,U02033,2023-06-20,DE,Android,4,307.48,1229.92,0,Electronics
TXN000220,SS003586,SEL0451,LST02288,U03572,2023-06-09,SK,Android,4,5.65,22.6,0,Beauty
TXN000221,SS010573,SEL0160,LST02263,U01382,2023-06-06,SK,Android,1,39.13,39.13,0,Electronics
TXN000222,SS005737,SEL0488,LST02646,U00491,2023-06-11,RO,Android,2,47.01,94.02,0,Home & Garden
TXN000223,SS005200,SEL0185,LST00197,U01176,2023-07-24,SK,Android,4,225.95,903.8,0,Electronics
TXN000224,SS018739,SEL0179,LST01398,U01019,2023-08-20,DE,Android,3,428.03,1284.09,0,Home & Garden
TXN000225,SS007727,SEL0302,LST01323,U04720,2023-07-26,DE,Android,3,39.03,117.09,0,Fashion
TXN000226,SS003690,SEL0203,LST02717,U02719,2023-07-10,PL,Android,2,427.11,854.22,0,Beauty
TXN000227,SS011596,SEL0335,LST00811,U03787,2023-08-19,PL,iOS,2,392.11,784.22,0,Fashion
TXN000228,SS012454,SEL0336,LST01977,U04290,2023-08-02,DE,Android,4,156.49,625.96,0,Fashion
TXN000229,SS005999,SEL0228,LST00354,U03878,2023-08-24,DE,Android,4,356.7,1426.8,0,Sports
TXN000230,SS013022,SEL0003,LST01555,U03368,2023-07-27,DE,iOS,3,154.16,462.48,0,Beauty
TXN000231,SS001387,SEL0423,LST01234,U01505,2023-07-28,PL,Android,1,363.3,363.3,0,Sports
TXN000232,SS010943,SEL0150,LST02109,U01141,2023-08-06,DE,Android,4,490.55,1962.2,0,Fashion
TXN000233,SS013674,SEL0146,LST00913,U04626,2023-08-09,CZ,iOS,1,108.84,108.84,0,Home & Garden
TXN000234,SS017269,SEL0488,LST00166,U03583,2023-08-21,SK,Android,2,322.41,644.82,1,Home & Garden
TXN000235,SS004692,SEL0090,LST00747,U04076,2023-08-01,DE,Android,1,330.63,330.63,0,Electronics
TXN000236,SS003925,SEL0366,LST02971,U04785,2023-06-17,PL,Android,3,7.45,22.35,0,Beauty
TXN000237,SS009548,SEL0124,LST01289,U01399,2023-07-18,CZ,Android,3,475.2,1425.6,0,Electronics
TXN000238,SS016036,SEL0131,LST02800,U03966,2023-06-04,PL,iOS,1,244.66,244.66,1,Home & Garden
TXN000239,SS011104,SEL0271,LST01118,U03581,2023-06-12,CZ,Android,4,419.53,1678.12,0,Sports
TXN000240,SS008066,SEL0430,LST02670,U00180,2023-07-01,PL,Android,1,196.78,196.78,0,Beauty
TXN000241,SS017275,SEL0434,LST01538,U04014,2023-06-02,DE,Android,2,261.61,523.22,0,Electronics
TXN000242,SS018627,SEL0337,LST00970,U01801,2023-06-07,PL,Android,4,308.58,1234.32,0,Beauty
TXN000243,SS019336,SEL0334,LST01828,U00780,2023-06-28,DE,iOS,3,354.53,1063.59,0,Home & Garden
